DF_Activated,PropertyName,PropertyName
Broken,Cadman Plaza Park,3
Broken,Dyker Beach Park,3
Broken,Jackie Robinson Playground,3
Broken,Luna Playground,3
Broken,Prall Playground,3
Broken,Prospect Park,3
Broken,Riverside Park,3
Broken,Slope Park Playground,3
Broken,Amersfort Park,2
Broken,Barretto Point Park,2
Broken,Belt Parkway/Shore Parkway,2
Broken,Bensonhurst Park,2
Broken,Canarsie Park,2
Broken,Crotona Park,2
Broken,Evergreen Playground,2
Broken,Franz Sigel Park,2
Broken,John Paul Jones Park,2
Broken,Juniper Valley Park,2
Broken,McKinley Park,2
Broken,Nathan Straus Playground,2
Broken,P.O. Reinaldo Salgado Playground,2
Broken,Riverside Park South,2
Broken,St. John's Park,2
Broken,St. Nicholas Park,2
Broken,Terrace Playground,2
Broken,West Harlem Piers,2
Broken,ABC Playground,1
Broken,Barrett Triangle,1
Broken,Breukelen Ballfields,1
Broken,Brevoort Playground,1
Broken,Calvert Vaux Park,1
Broken,Century Playground,1
Broken,Chiarantano Playground,1
Broken,Coleman Playground,1
Broken,Cooper Triangle,1
Broken,Decatur Playground,1
Broken,Dry Dock Playground,1
Broken,East River Playground,1
Broken,El Shabazz Playground,1
Broken,Ericsson Playground,1
Broken,Fermi Playground,1
Broken,Gravesend Park,1
Broken,Harlem River Park,1
Broken,J.J. Byrne Playground,1
Broken,John V. Lindsay East River Park,1
Broken,Kolbert Playground,1
Broken,Lott Park,1
Broken,Macombs Dam Park,1
Broken,Manhattan Beach Park,1
Broken,Maria Hernandez Park,1
Broken,Marine Park,1
Broken,Marlboro Playground,1
Broken,Marx Brothers Playground,1
Broken,McCarren Park,1
Broken,North Shore Esplanade,1
Broken,Peter Detmold Park,1
Broken,Playground One Twenty Five CXXV,1
Broken,Red Hook Recreation Area,1
Broken,Seth Low Playground/ Bealin Square,1
Broken,Shore Park and Parkway,1
Broken,Sidney Hillman Playground,1
Broken,Stanley Isaacs Playground,1
Broken,Thomas Paine Park,1
Broken,Washington Market Park,1
Broken,William F. Passannante Ballfield,1
NotYetActivated,Brooklyn Bridge Park,8
NotYetActivated,Central Park,7
NotYetActivated,The High Line,6
NotYetActivated,Brooklyn Botanic Garden,5
NotYetActivated,Red Hook Recreation Area,5
NotYetActivated,Bloomingdale Park,4
NotYetActivated,Franklin D. Roosevelt Boardwalk and Beach,4
NotYetActivated,Van Cortlandt Park,4
NotYetActivated,Bella Abzug Park,3
NotYetActivated,Stapleton Playground,3
NotYetActivated,Bushwick Playground,2
NotYetActivated,Clove Lakes Park,2
NotYetActivated,Commodore Barry Park,2
NotYetActivated,Coney Island Beach & Boardwalk,2
NotYetActivated,John Jay Park,2
NotYetActivated,Old Town Playground,2
NotYetActivated,Washington Market Park,2
NotYetActivated,Albert Capsouto Park,1
NotYetActivated,Barretto Point Park,1
NotYetActivated,Blake Hobbs Playground,1
NotYetActivated,Bronx Park,1
NotYetActivated,Brownsville Playground,1
NotYetActivated,Christopher J. Igneri Playground,1
NotYetActivated,Crotona Park,1
NotYetActivated,E.M.T. Christopher J. Prescott Playground,1
NotYetActivated,Forest Park,1
NotYetActivated,Gravesend Park,1
NotYetActivated,Greencroft Playground,1
NotYetActivated,Hero Park,1
NotYetActivated,Howard Pool,1
NotYetActivated,Jackie Robinson Park,1
NotYetActivated,James Weldon Johnson Playground,1
NotYetActivated,Jennifer's Playground,1
NotYetActivated,Liotti Ikefugi Playground,1
NotYetActivated,McCarren Park,1
NotYetActivated,Mullaly Park,1
NotYetActivated,NYC AIDS Memorial Park at St. Vincent’s Triangle,1
NotYetActivated,Silver Lake Park,1
NotYetActivated,St. Catherine's Park,1
NotYetActivated,Stapleton Esplanade,1
NotYetActivated,Thomas Jefferson Park,1
NotYetActivated,Veterans Park,1
NotYetActivated,Wolfe's Pond Park,1
UnderConstruction,Crotona Park,8
UnderConstruction,Manhattan Beach Park,8
UnderConstruction,Faber Pool and Park,5
UnderConstruction,Forest Park,5
UnderConstruction,Bensonhurst Park,4
UnderConstruction,Frederick Johnson Playground,4
UnderConstruction,Hamilton Metz Field,4
UnderConstruction,Park Of The Americas,4
UnderConstruction,St. Mary's Park,4
UnderConstruction,Van Cortlandt Park,4
UnderConstruction,Baruch Playground,3
UnderConstruction,Bildersee Playground,3
UnderConstruction,Gen. Douglas MacArthur Park,3
UnderConstruction,General Hart Playground,3
UnderConstruction,John J Carty Park,3
UnderConstruction,Little Flower Playground,3
UnderConstruction,Twenty-Four Sycamores Park,3
UnderConstruction,Abraham Lincoln Playground,2
UnderConstruction,Almeda Playground,2
UnderConstruction,Audubon Playground,2
UnderConstruction,Austin J. McDonald Playground,2
UnderConstruction,Bushwick Playground,2
UnderConstruction,Corlears Hook Park,2
UnderConstruction,Crocheron Park,2
UnderConstruction,De Matti Park,2
UnderConstruction,Howard Pool,2
UnderConstruction,Joseph C. Sauer Park,2
UnderConstruction,Luther Gulick Park,2
UnderConstruction,Mosholu Parkway,2
UnderConstruction,Playground One,2
UnderConstruction,Quarry Ballfields,2
UnderConstruction,Virginia Park,2
UnderConstruction,Wagner Playground,2
UnderConstruction,Whitestone Playground,2
UnderConstruction,Astoria Park,1
UnderConstruction,Bill Bojangles Robinson Playground,1
UnderConstruction,Bland Playground,1
UnderConstruction,Cadman Plaza Park,1
UnderConstruction,DeLury Square,1
UnderConstruction,Garrison Playground,1
UnderConstruction,Grant Park,1
UnderConstruction,Greencroft Playground,1
UnderConstruction,Highbridge Park,1
UnderConstruction,Lopez Playground,1
UnderConstruction,McKinley Playground,1
UnderConstruction,Owen F. Dolen Park,1
UnderConstruction,Patterson Playground,1
UnderConstruction,Red Hook Recreation Area,1
UnderConstruction,Richman (Echo) Park,1
UnderConstruction,Riverside Park,1
UnderConstruction,Stapleton Playground,1
UnderConstruction,Steeplechase Park,1
UnderConstruction,Theodore Roosevelt Park,1
UnderConstruction,Thomas Jefferson Park,1
UnderConstruction,Yolanda García Park,1
